date,category,answer,clue,note
2026-09-27,Rules & Scoring,STEAL,Scoring one or more points in an end when your team does not possess the hammer.,Stealing requires aggressive placement of guards and stones in the four-foot to deny the opponent an open draw.
2026-09-28,World Championships,NIKLAS EDIN,Swedish curling superstar who captured seven World Men's titles and 2022 Olympic gold as skip.,Edin made history by becoming the first men's skip to win four consecutive World Curling Championships from 2018 to 2022.
2026-09-29,Ice & Ice Reading,RUNNING SURFACE,The narrow circular ring on the bottom of a curling stone that actually makes contact with the ice.,"The running surface is only about five millimetres wide, concentrating the stone's weight onto a tiny contact area."
2026-09-30,Delivery & Curl,HOG LINE,The wide line across the ice that stones must clearly cross to remain in play and before which the stone must be released.,Modern elite competitions use electronic handles with light sensors to detect whether a stone was released before the hog line.
2026-10-01,Strategy & Tactics,FORCE,The strategic feat of holding the team holding the hammer to only a single point.,Forcing an opponent to take one point is generally considered a tactical defensive victory for the team without hammer.
2026-10-02,Positions & Team Roles,LEAD,The player on a four-person team who throws the first two stones and handles primary sweeping duties.,Leads must possess exceptional corner-guard and draw-to-the-wings precision to set up the end's tactical layout.
2026-10-03,Canadian Championships,SCOTTIES TOURNAMENT OF HEARTS,The annual Canadian women's curling championship whose champion wears the maple leaf at the World Championship.,"Established under its current tournament identity in 1982, it features provincial champions and defending Team Canada."
2026-10-04,Equipment & Gear,GRIPPER,A slip-on rubber cover placed over a slider shoe to provide stable traction when walking or sweeping.,Curlers always remove their gripper from their sliding foot just before stepping into the hack to deliver a stone.
2026-10-05,Shots & Shot Types,DOUBLE TAKEOUT,A single powerful hit that eliminates two opposing stones from play in one shot.,A successful double takeout can completely neutralize an opponent's well-constructed offensive cluster in the house.
2026-10-06,Curling Terminology,BUTTON,The small central circle at the very core of the house surrounded by the four-foot ring.,Stones resting on the button are the most difficult to out-count and usually hold shot stone status.
2026-10-07,Olympic Curling,JOHN SHUSTER,American skip who engineered a miraculous five-game winning streak to capture USA men's curling gold in 2018.,His team executed a stunning five-ender in the eighth end of the gold medal final against Sweden in PyeongChang.
2026-10-08,Rules & Scoring,BURNT STONE,A stone in motion that is illegally touched by a player or their broom or clothing.,"Under modern World Curling rules, the non-offending skip has options on how to handle the positions of stones after a burn."
2026-10-09,Grand Slam of Curling,THE PLAYERS CHAMPIONSHIP,The prestigious flagship event of the Grand Slam of Curling series featuring the world's top-ranked men's and women's teams.,"Known for having one of the deepest international fields in professional curling, it traditionally crowns the Slam season."
2026-10-10,Players & Legends,KEVIN MARTIN,Legendary Canadian skip nicknamed 'The Bear' who won 2010 Olympic gold and four Briers and 18 Grand Slam titles.,Martin was a pioneer of the aggressive corner guard strategy that revolutionized modern men's curling in the 1990s.
2026-10-11,Statistics & Analytics,DRAW SHOT CHALLENGE,The cumulative measurement of pre-game draws to the button used to break ties and determine hammer in playoffs.,"Teams practice drawing to the tee with each rotation before every game, with distances measured in centimetres."
2026-10-12,Mixed Doubles,POSITIONED STONES,The two stones pre-set on the centre line before any deliveries are made in a mixed doubles end.,One stone is positioned as a centre guard while the other is placed at the back of the four-foot ring.
2026-10-13,Shots & Shot Types,RUNBACK,A takeout shot where a shooter strikes a guard to propel it backwards into an opponent's stone in the house.,Runbacks require great weight and angle precision because a slight miss will deflect the guard harmlessly away.
2026-10-14,Delivery & Curl,HACK,The rubber-lined foothold anchored into the ice from which a curler pushes off to deliver a stone.,Two hacks are installed side by side at each end of the sheet to accommodate right-handed and left-handed throwers.
2026-10-15,Countries & Curling Cultures,SCOTLAND,The historic birthplace of curling and home to the Royal Caledonian Curling Club founded in 1838.,"Scotland hosted the first international curling competition, the Scotch Cup, in 1959 at Falkirk and Edinburgh."
2026-10-16,Officials & Operations,THINKING TIME,The countdown clock system in elite curling that measures only the time a team spends planning and preparing shots.,A team's clock stops the moment the delivering player releases the stone and crosses the tee line.
2026-10-17,Positions & Team Roles,VICE-SKIP,The team member who takes charge of house strategy while the skip is in the hack throwing stones.,"Also known as the third, this player traditionally measures contested stones with the opponent's vice-skip."
2026-10-18,Ice & Ice Reading,FALLING FINISH,A path on the ice where stones curl abnormally hard toward one side due to a slope or depression in the sheet.,Ice makers continually work to ensure level sheets using computerized laser levels during mid-season maintenance.
2026-10-19,Shots & Shot Types,WICK,A shot where a delivered stone glances gently off the side of another stone to alter its trajectory into position.,"Also called a carom, a successful wick can redirect a stone behind complex protective guards."
2026-10-20,Formats & Game Structure,EXTRA END,An additional end played to decide the winner when a curling game is tied at the conclusion of regulation ends.,Ties are never permitted in competitive curling; play continues end-by-end until a champion emerges.
2026-10-21,Curling Terminology,BITER,A stone that barely overlaps the outer edge of the twelve-foot circle and remains eligible for scoring.,"Biters are verified using a biter bar, a specialized gauge swung in a circle from the central pin."
2026-10-22,World Championships,SILVANA TIRINZONI,Swiss skip who led her team to an extraordinary four consecutive World Women's Curling Championship titles from 2019 to 2023.,Tirinzoni called team strategy while fourth thrower Alina Pätz threw the final high-pressure stones.
2026-10-23,Facilities & Club Life,BONSPIEL,A traditional curling tournament or festival bringing together multiple clubs and rinks for competitive and social play.,Bonspiels range from weekend local club socials to massive multi-sheet civic events lasting an entire week.
2026-10-24,Shots & Shot Types,PEEL,A high-velocity takeout shot designed to remove an opponent's guard while rolling the shooter out of play as well.,"Peeling removes clutter from the front of the sheet, keeping the house open for teams protecting a lead."
2026-10-25,Olympic Curling,RHONA MARTIN,Scottish skip who delivered the famous 'Stone of Destiny' to secure women's Olympic gold for Great Britain in 2002.,"Her final draw struck the four-foot in Salt Lake City, captivating millions of late-night television viewers in the UK."
2026-10-26,Strategy & Tactics,CORNER GUARD,A guard positioned in front of the house but away from the centre line to set up offensive play to the wings.,Corner guards allow teams with the hammer to build multi-point ends without clogging the middle draw path.
2026-10-27,Players & Legends,JENNIFER JONES,Iconic Canadian skip who went undefeated to win Olympic gold in 2014 and collected six Scotties titles.,"Renowned for her clutch shot-making, Jones's 'in-off' shot to win the 2005 Scotties is regarded as one of curling's greatest shots."
2026-10-28,Junior & Youth Curling,WORLD JUNIOR CURLING CHAMPIONSHIPS,The annual premier World Curling competition showcasing the planet's top players under twenty-one years of age.,"Many Olympic champions, including Niklas Edin and Jennifer Jones, first proved their brilliance at World Juniors."
2026-10-29,Delivery & Curl,IN-TURN,A delivery where a right-handed thrower rotates the stone clockwise causing it to curl from right to left.,"The opposite rotation, rotating counter-clockwise for a right-hander, is known as the out-turn."
2026-10-30,Equipment & Gear,CORN BROOM,The traditional straw sweeping broom widely used before modern synthetic fabric brushes were adopted.,"Corn brooms produced a distinctive slap against the ice to clear frost, but dropped debris that caused stones to pick."
2026-10-31,Culture & Etiquette,CONCEDING,The customary act of shaking hands to end a game early when a trailing team mathematically or realistically cannot win.,"Unlike many sports where quitting is frowned upon, curling views conceding an unwinnable match as proper respect for opponents."
2026-11-01,Rules & Scoring,TEE LINE,The line passing directly through the centre of the house perpendicular to the centre line of the sheet.,"Once an opponent's stone crosses the tee line, the defending team is legally entitled to sweep it toward the back."
2026-11-02,Shots & Shot Types,TAP BACK,A gentle hit designed to nudge an opponent's stone slightly further back into the house without completely removing it.,"A tap back alters the relative distances from the button, promoting the shooter or an existing guard into shot stone."
2026-11-03,Wheelchair Curling,WHEELCHAIR MIXED DOUBLES,The Paralympic two-athlete discipline that made its world championship debut in 2022 and joined the Paralympic program.,"Matches consist of eight ends, requiring precise stick delivery without any sweeping assistance from teammates."
2026-11-04,Match Strategy,CLEAN END,A tactical situation where the defending team peels all guards and removes house stones to leave an empty sheet.,Teams leading late in a game deliberately force clean ends to reduce the opponent's chances of constructing multi-point ends.
2026-11-05,Players & Legends,ERNIE RICHARDSON,Canadian curling pioneer who skipped his Saskatchewan family rink to four Brier and four Scotch Cup World titles from 1959 to 1963.,"Nicknamed 'The King,' Richardson was an early global ambassador who helped popularize curling on international television."
2026-11-06,Mixed Doubles,STEFANIA CONSTANTINI,Italian curling phenom who paired with Amos Mosaner to win 2022 Olympic gold with an unblemished 11-0 record.,Constantini and Mosaner captured Italy's first-ever Olympic curling medal in a sensational Beijing performance.
2026-11-07,Ice & Ice Reading,FROST,Moisture crystals that accumulate on the pebble to significantly slow stone speed and alter curl paths.,"Frost buildup occurs when warm, humid arena air encounters cold ice surface temperatures during long sessions."
2026-11-08,Records & Milestones,PERFECT GAME,A rare statistical feat where a curler completes an entire competitive match with a 100 percent shot-making rating.,"Achieving a perfect game requires executing every designated shot, weight, and line flawlessly as graded by official scorers."
2026-11-09,Positions & Team Roles,SECOND,The player who delivers the third and fourth stones of an end and pairs with the lead on major sweeping calls.,Seconds are frequently responsible for executing critical peel shots and double takeouts to manage mid-end traffic.
2026-11-10,Fun Facts & Nicknames,FERBEY FOUR,The legendary Edmonton rink skipped by Randy Ferbey that won four Briers in five years using an innovative line-up switch.,"Ferbey threw third stones while calling the game, while David Nedohin threw final stones under intense pressure."
2026-11-11,Curling Terminology,PICK,The sudden and unpredictable deflection of a moving stone caused by running over a hair or debris or frost clump.,"A pick can instantly derail a well-thrown shot, making ice cleanliness a paramount concern for sweeping leads."
2026-11-12,Olympic Curling,ANNA HASSELBORG,Swedish skip who made history by holding the Olympic gold and World Championship and European Championship titles simultaneously in 2019.,Her rink won Olympic gold at PyeongChang 2018 and followed up with back-to-back European titles and Grand Slam crowns.
2026-11-13,Rules & Scoring,LAST STONE DRAW,The individual pre-game shots delivered by two designated players to measure proximity to the button and award first-end hammer.,The aggregate distances of these draws over a round robin also serve as the primary tiebreaker for championship playoff seeding.
2026-11-14,Shots & Shot Types,COME-AROUND,A delicate draw shot that curves around a stationary guard stone and nestles safely behind it.,A perfectly placed come-around makes the newly delivered stone untouchable via a direct open takeout line.
2026-11-15,Culture & Etiquette,SPIRIT OF CURLING,The formal code of ethics enshrined in World Curling rules emphasizing mutual respect and honest calls and fair play.,The Spirit of Curling dictates that a true curler would rather lose than win dishonourably through an unfair advantage.
2026-11-16,Canadian Championships,PURPLE HEART,The traditional embroidered crest awarded to curlers who qualify to represent their province or territory at the Brier.,Earning a purple heart is one of the highest badges of honour in competitive Canadian men's curling.
